date,week,holiday
2024-01-03,202401,""
2024-01-05,202401,""
2024-01-07,202401,""
2024-01-06,202401,""
2024-01-01,202401,New Year
2024-01-02,202401,Sub-New Year
2024-01-09,202402,""
2024-01-14,202402,""
2024-01-08,202402,""
2024-01-12,202402,""
2024-01-11,202402,""
2024-01-13,202402,Children Day
2024-01-10,202402,""
2024-01-16,202403,""
2024-01-18,202403,""
2024-01-20,202403,""
2024-01-15,202403,""
2024-01-19,202403,""
2024-01-17,202403,""
2024-01-21,202403,""
2024-01-27,202404,""
2024-01-28,202404,""
2024-01-22,202404,""
2024-01-24,202404,""
2024-01-25,202404,""
2024-01-26,202404,""
2024-01-23,202404,""
2024-02-02,202405,""
2024-02-01,202405,""
2024-02-03,202405,""
2024-01-30,202405,""
2024-02-04,202405,""
2024-01-31,202405,""
2024-01-29,202405,""
2024-02-11,202406,""
2024-02-06,202406,""
2024-02-08,202406,CNY
2024-02-09,202406,CNY
2024-02-10,202406,CNY
2024-02-05,202406,""
2024-02-07,202406,""
2024-02-16,202407,""
2024-02-15,202407,""
2024-02-12,202407,""
2024-02-14,202407,Valentine's Day
2024-02-18,202407,""
2024-02-17,202407,""
2024-02-13,202407,""
2024-02-24,202408,Maka Bucha
2024-02-19,202408,""
2024-02-22,202408,""
2024-02-20,202408,""
2024-02-21,202408,""
2024-02-25,202408,""
2024-02-23,202408,""
2024-03-03,202409,""
2024-02-26,202409,Sub-Maka Bucha
2024-02-27,202409,""
2024-03-01,202409,""
2024-02-28,202409,""
2024-02-29,202409,""
2024-03-02,202409,""
2024-03-10,202410,""
2024-03-07,202410,""
2024-03-09,202410,""
2024-03-08,202410,""
2024-03-04,202410,""
2024-03-05,202410,""
2024-03-06,202410,""
2024-03-13,202411,""
2024-03-16,202411,""
2024-03-11,202411,""
2024-03-17,202411,""
2024-03-14,202411,""
2024-03-15,202411,""
2024-03-12,202411,""
2024-03-23,202412,""
2024-03-24,202412,""
2024-03-21,202412,""
2024-03-20,202412,""
2024-03-18,202412,""
2024-03-22,202412,""
2024-03-19,202412,""
2024-03-25,202413,""
2024-03-28,202413,""
2024-03-31,202413,""
2024-03-26,202413,""
2024-03-29,202413,""
2024-03-27,202413,""
2024-03-30,202413,""
2024-04-02,202414,""
2024-04-03,202414,""
2024-04-04,202414,""
2024-04-01,202414,""
2024-04-07,202414,""
2024-04-05,202414,Cheng Meng
2024-04-06,202414,Chakri Day
2024-04-09,202415,""
2024-04-14,202415,SongKran Day
2024-04-08,202415,Sub-Chakri Day
2024-04-13,202415,SongKran Day
2024-04-12,202415,""
2024-04-11,202415,""
2024-04-10,202415,""
2024-04-17,202416,""
2024-04-21,202416,""
2024-04-19,202416,""
2024-04-15,202416,SongKran Day
2024-04-18,202416,""
2024-04-20,202416,""
2024-04-16,202416,Sub-Songkran Day
2024-04-24,202417,""
2024-04-22,202417,""
2024-04-28,202417,""
2024-04-26,202417,""
2024-04-27,202417,""
2024-04-23,202417,""
2024-04-25,202417,""
2024-05-02,202418,""
2024-05-01,202418,Labor Day
2024-05-04,202418,Coronation Day
2024-04-30,202418,""
2024-05-05,202418,""
2024-05-03,202418,""
2024-04-29,202418,""
2024-05-06,202419,Sub-Coronation Day
2024-05-07,202419,""
2024-05-09,202419,""
2024-05-08,202419,""
2024-05-12,202419,""
2024-05-11,202419,""
2024-05-10,202419,""
2024-05-15,202420,""
2024-05-17,202420,""
2024-05-16,202420,""
2024-05-19,202420,""
2024-05-13,202420,""
2024-05-14,202420,""
2024-05-18,202420,""
2024-05-24,202421,""
2024-05-21,202421,""
2024-05-22,202421,Visakha Bucha
2024-05-25,202421,""
2024-05-20,202421,""
2024-05-23,202421,""
2024-05-26,202421,""
2024-05-31,202422,""
2024-06-01,202422,""
2024-06-02,202422,""
2024-05-28,202422,""
2024-05-30,202422,""
2024-05-27,202422,""
2024-05-29,202422,""
2024-06-06,202423,""
2024-06-03,202423,Queen's BD
2024-06-05,202423,""
2024-06-07,202423,""
2024-06-04,202423,""
2024-06-08,202423,""
2024-06-09,202423,""
2024-06-10,202424,Bajang
2024-06-12,202424,""
2024-06-15,202424,""
2024-06-13,202424,""
2024-06-14,202424,""
2024-06-11,202424,""
2024-06-16,202424,""
2024-06-21,202425,""
2024-06-22,202425,""
2024-06-23,202425,""
2024-06-18,202425,""
2024-06-20,202425,""
2024-06-17,202425,""
2024-06-19,202425,""
2024-06-25,202426,""
2024-06-24,202426,""
2024-06-26,202426,""
2024-06-29,202426,""
2024-06-27,202426,""
2024-06-28,202426,""
2024-06-30,202426,""
2024-07-04,202427,""
2024-07-06,202427,""
2024-07-07,202427,""
2024-07-03,202427,""
2024-07-01,202427,""
2024-07-02,202427,""
2024-07-05,202427,""
2024-07-10,202428,""
2024-07-09,202428,""
2024-07-12,202428,""
2024-07-08,202428,""
2024-07-13,202428,""
2024-07-14,202428,""
2024-07-11,202428,""
2024-07-16,202429,""
2024-07-20,202429,Asanhabucha
2024-07-19,202429,""
2024-07-18,202429,""
2024-07-21,202429,Buddhist Lent begin
2024-07-15,202429,""
2024-07-17,202429,""
2024-07-26,202430,""
2024-07-22,202430,Sub-Asanhabucha
2024-07-24,202430,""
2024-07-23,202430,""
2024-07-25,202430,""
2024-07-27,202430,""
2024-07-28,202430,King's BD
2024-07-30,202431,""
2024-08-04,202431,""
2024-07-31,202431,""
2024-07-29,202431,Sub-King's BD
2024-08-02,202431,""
2024-08-03,202431,""
2024-08-01,202431,""
2024-08-10,202432,""
2024-08-06,202432,""
2024-08-09,202432,""
2024-08-08,202432,""
2024-08-11,202432,""
2024-08-07,202432,""
2024-08-05,202432,""
2024-08-14,202433,""
2024-08-15,202433,""
2024-08-17,202433,""
2024-08-13,202433,""
2024-08-12,202433,Mother's Day
2024-08-16,202433,""
2024-08-18,202433,CMY
2024-08-23,202434,""
2024-08-24,202434,""
2024-08-21,202434,""
2024-08-25,202434,""
2024-08-20,202434,""
2024-08-19,202434,""
2024-08-22,202434,""
2024-08-27,202435,""
2024-08-31,202435,""
2024-09-01,202435,""
2024-08-28,202435,""
2024-08-30,202435,""
2024-08-26,202435,""
2024-08-29,202435,""
2024-09-05,202436,""
2024-09-07,202436,""
2024-09-06,202436,""
2024-09-08,202436,""
2024-09-04,202436,""
2024-09-03,202436,""
2024-09-02,202436,""
2024-09-12,202437,""
2024-09-15,202437,""
2024-09-10,202437,""
2024-09-11,202437,""
2024-09-09,202437,""
2024-09-13,202437,""
2024-09-14,202437,""
2024-09-19,202438,""
2024-09-18,202438,""
2024-09-16,202438,""
2024-09-21,202438,""
2024-09-20,202438,""
2024-09-17,202438,Moon Cake
2024-09-22,202438,""
2024-09-25,202439,""
2024-09-26,202439,""
2024-09-24,202439,""
2024-09-28,202439,""
2024-09-29,202439,""
2024-09-27,202439,""
2024-09-23,202439,""
2024-10-04,202440,Vegetarian Fest
2024-10-01,202440,""
2024-10-05,202440,Vegetarian Fest
2024-10-06,202440,Vegetarian Fest
2024-10-03,202440,Vegetarian Fest
2024-09-30,202440,""
2024-10-02,202440,""
2024-10-10,202441,Vegetarian Fest
2024-10-12,202441,""
2024-10-07,202441,Vegetarian Fest
2024-10-09,202441,Vegetarian Fest
2024-10-11,202441,Vegetarian Fest
2024-10-08,202441,Vegetarian Fest
2024-10-13,202441,Rama IX
2024-10-18,202442,""
2024-10-16,202442,""
2024-10-15,202442,""
2024-10-14,202442,Sub-Rama XI
2024-10-17,202442,Buddhist Lent end
2024-10-20,202442,""
2024-10-19,202442,""
2024-10-26,202443,""
2024-10-25,202443,""
2024-10-22,202443,""
2024-10-21,202443,""
2024-10-27,202443,""
2024-10-23,202443,Rama V
2024-10-24,202443,""
2024-10-30,202444,""
2024-11-02,202444,""
2024-11-03,202444,""
2024-10-28,202444,""
2024-10-31,202444,Halloween
2024-10-29,202444,""
2024-11-01,202444,""
2024-11-04,202445,""
2024-11-08,202445,""
2024-11-06,202445,""
2024-11-05,202445,""
2024-11-07,202445,""
2024-11-10,202445,""
2024-11-09,202445,""
2024-11-14,202446,""
2024-11-16,202446,""
2024-11-12,202446,""
2024-11-13,202446,""
2024-11-11,202446,""
2024-11-15,202446,Loy Kra Thong
2024-11-17,202446,""
2024-11-20,202447,""
2024-11-24,202447,""
2024-11-23,202447,""
2024-11-18,202447,""
2024-11-19,202447,""
2024-11-21,202447,""
2024-11-22,202447,""
2024-11-25,202448,""
2024-11-30,202448,""
2024-11-29,202448,""
2024-12-01,202448,""
2024-11-27,202448,""
2024-11-26,202448,""
2024-11-28,202448,""
2024-12-02,202449,""
2024-12-04,202449,""
2024-12-03,202449,""
2024-12-05,202449,Father's Day
2024-12-07,202449,""
2024-12-08,202449,""
2024-12-06,202449,""
2024-12-11,202450,""
2024-12-12,202450,""
2024-12-15,202450,""
2024-12-10,202450,Constitution Day
2024-12-13,202450,""
2024-12-09,202450,""
2024-12-14,202450,""
2024-12-20,202451,""
2024-12-18,202451,""
2024-12-21,202451,""
2024-12-19,202451,""
2024-12-16,202451,""
2024-12-17,202451,""
2024-12-22,202451,""
2024-12-26,202452,""
2024-12-24,202452,""
2024-12-27,202452,""
2024-12-29,202452,""
2024-12-25,202452,Christmas
2024-12-23,202452,""
2024-12-28,202452,""
2024-12-31,202453,Sub-New Year
2024-12-30,202453,""
2023-01-01,202301,New Year
2023-01-03,202302,""
2023-01-07,202302,""
2023-01-05,202302,""
2023-01-06,202302,""
2023-01-02,202302,Sub-New Year
2023-01-08,202302,""
2023-01-04,202302,""
2023-01-11,202303,""
2023-01-13,202303,""
2023-01-10,202303,""
2023-01-15,202303,""
2023-01-09,202303,""
2023-01-12,202303,""
2023-01-14,202303,Children Day
2023-01-18,202304,""
2023-01-16,202304,""
2023-01-19,202304,""
2023-01-21,202304,CNY
2023-01-17,202304,""
2023-01-22,202304,CNY
2023-01-20,202304,CNY
2023-01-28,202305,""
2023-01-23,202305,""
2023-01-29,202305,""
2023-01-26,202305,""
2023-01-27,202305,""
2023-01-25,202305,""
2023-01-24,202305,""
2023-01-31,202306,""
2023-02-05,202306,""
2023-02-04,202306,""
2023-02-03,202306,""
2023-02-02,202306,""
2023-02-01,202306,""
2023-01-30,202306,""
2023-02-07,202307,""
2023-02-08,202307,""
2023-02-12,202307,""
2023-02-06,202307,""
2023-02-10,202307,""
2023-02-11,202307,""
2023-02-09,202307,""
2023-02-17,202308,""
2023-02-15,202308,""
2023-02-18,202308,""
2023-02-13,202308,""
2023-02-16,202308,""
2023-02-14,202308,Valentine's Day
2023-02-19,202308,""
2023-02-24,202309,""
2023-02-21,202309,""
2023-02-22,202309,""
2023-02-26,202309,""
2023-02-20,202309,""
2023-02-23,202309,""
2023-02-25,202309,""
2023-02-28,202310,""
2023-03-02,202310,""
2023-03-04,202310,""
2023-02-27,202310,""
2023-03-01,202310,""
2023-03-05,202310,""
2023-03-03,202310,""
2023-03-06,202311,Maka Bucha
2023-03-12,202311,""
2023-03-10,202311,""
2023-03-07,202311,""
2023-03-09,202311,""
2023-03-08,202311,""
2023-03-11,202311,""
2023-03-18,202312,""
2023-03-15,202312,""
2023-03-16,202312,""
2023-03-19,202312,""
2023-03-13,202312,""
2023-03-14,202312,""
2023-03-17,202312,""
2023-03-22,202313,""
2023-03-25,202313,""
2023-03-21,202313,""
2023-03-26,202313,""
2023-03-24,202313,""
2023-03-20,202313,""
2023-03-23,202313,""
2023-03-30,202314,""
2023-03-31,202314,""
2023-03-28,202314,""
2023-03-27,202314,""
2023-03-29,202314,""
2023-04-02,202314,""
2023-04-01,202314,""
2023-04-08,202315,""
2023-04-09,202315,""
2023-04-07,202315,""
2023-04-05,202315,Cheng Meng
2023-04-06,202315,Chakri Day
2023-04-03,202315,""
2023-04-04,202315,""
2023-04-15,202316,SongKran Day
2023-04-16,202316,""
2023-04-14,202316,SongKran Day
2023-04-13,202316,SongKran Day
2023-04-10,202316,""
2023-04-12,202316,""
2023-04-11,202316,""
2023-04-19,202317,""
2023-04-23,202317,""
2023-04-20,202317,""
2023-04-17,202317,""
2023-04-18,202317,""
2023-04-22,202317,""
2023-04-21,202317,""
2023-04-29,202318,""
2023-04-28,202318,""
2023-04-24,202318,""
2023-04-30,202318,""
2023-04-27,202318,""
2023-04-26,202318,""
2023-04-25,202318,""
2023-05-04,202319,Coronation Day
2023-05-06,202319,""
2023-05-05,202319,""
2023-05-01,202319,Labor Day
2023-05-07,202319,""
2023-05-02,202319,""
2023-05-03,202319,""
2023-05-13,202320,""
2023-05-10,202320,""
2023-05-12,202320,""
2023-05-09,202320,""
2023-05-14,202320,""
2023-05-11,202320,""
2023-05-08,202320,""
2023-05-15,202321,""
2023-05-16,202321,""
2023-05-19,202321,""
2023-05-18,202321,""
2023-05-21,202321,""
2023-05-20,202321,""
2023-05-17,202321,Ploughing Day
2023-05-23,202322,""
2023-05-26,202322,""
2023-05-24,202322,""
2023-05-28,202322,""
2023-05-27,202322,""
2023-05-22,202322,""
2023-05-25,202322,""
2023-05-30,202323,""
2023-05-31,202323,""
2023-06-04,202323,""
2023-05-29,202323,""
2023-06-02,202323,""
2023-06-01,202323,""
2023-06-03,202323,Queen's BD
2023-06-09,202324,""
2023-06-08,202324,""
2023-06-10,202324,""
2023-06-05,202324,Sub-Queen's BD
2023-06-11,202324,""
2023-06-06,202324,""
2023-06-07,202324,""
2023-06-12,202325,""
2023-06-14,202325,""
2023-06-13,202325,""
2023-06-16,202325,""
2023-06-17,202325,""
2023-06-15,202325,""
2023-06-18,202325,""
2023-06-21,202326,""
2023-06-23,202326,""
2023-06-25,202326,""
2023-06-22,202326,Bajang
2023-06-24,202326,""
2023-06-20,202326,""
2023-06-19,202326,""
2023-06-28,202327,""
2023-07-01,202327,""
2023-07-02,202327,""
2023-06-30,202327,""
2023-06-26,202327,""
2023-06-29,202327,""
2023-06-27,202327,""
2023-07-05,202328,""
2023-07-06,202328,""
2023-07-09,202328,""
2023-07-04,202328,""
2023-07-07,202328,""
2023-07-08,202328,""
2023-07-03,202328,""
2023-07-10,202329,""
2023-07-13,202329,""
2023-07-11,202329,""
2023-07-14,202329,""
2023-07-16,202329,""
2023-07-12,202329,""
2023-07-15,202329,""
2023-07-18,202330,""
2023-07-17,202330,""
2023-07-22,202330,""
2023-07-21,202330,""
2023-07-20,202330,""
2023-07-23,202330,""
2023-07-19,202330,""
2023-07-24,202331,""
2023-07-25,202331,""
2023-07-28,202331,King's BD
2023-07-30,202331,""
2023-07-27,202331,""
2023-07-29,202331,""
2023-07-26,202331,""
2023-08-01,202332,Asanhabucha
2023-08-02,202332,Buddhist Lent begin
2023-08-06,202332,""
2023-08-04,202332,""
2023-07-31,202332,Extra Holiday
2023-08-05,202332,""
2023-08-03,202332,""
2023-08-13,202333,""
2023-08-07,202333,""
2023-08-11,202333,""
2023-08-09,202333,""
2023-08-10,202333,""
2023-08-12,202333,Mother's Day
2023-08-08,202333,""
2023-08-14,202334,Sub-Motrher's Day
2023-08-15,202334,""
2023-08-17,202334,""
2023-08-16,202334,""
2023-08-19,202334,""
2023-08-20,202334,""
2023-08-18,202334,""
2023-08-23,202335,""
2023-08-22,202335,""
2023-08-24,202335,""
2023-08-27,202335,""
2023-08-26,202335,""
2023-08-25,202335,""
2023-08-21,202335,""
2023-08-31,202336,""
2023-08-28,202336,""
2023-08-29,202336,""
2023-08-30,202336,CMY
2023-09-01,202336,""
2023-09-03,202336,""
2023-09-02,202336,""
2023-09-04,202337,""
2023-09-10,202337,""
2023-09-09,202337,""
2023-09-08,202337,""
2023-09-06,202337,""
2023-09-07,202337,""
2023-09-05,202337,""
2023-09-13,202338,""
2023-09-12,202338,""
2023-09-15,202338,""
2023-09-14,202338,""
2023-09-11,202338,""
2023-09-17,202338,""
2023-09-16,202338,""
2023-09-21,202339,""
2023-09-19,202339,""
2023-09-18,202339,""
2023-09-20,202339,""
2023-09-23,202339,""
2023-09-24,202339,""
2023-09-22,202339,""
2023-09-28,202340,""
2023-09-29,202340,Moon Cake
2023-09-25,202340,""
2023-10-01,202340,""
2023-09-30,202340,""
2023-09-26,202340,""
2023-09-27,202340,""
2023-10-06,202341,""
2023-10-03,202341,""
2023-10-02,202341,""
2023-10-08,202341,""
2023-10-04,202341,""
2023-10-05,202341,""
2023-10-07,202341,""
2023-10-12,202342,""
2023-10-11,202342,""
2023-10-15,202342,Vegetarian Fest
2023-10-14,202342,Vegetarian Fest
2023-10-13,202342,Rama IX
2023-10-09,202342,""
2023-10-10,202342,""
2023-10-21,202343,Vegetarian Fest
2023-10-16,202343,Vegetarian Fest
2023-10-18,202343,Vegetarian Fest
2023-10-19,202343,Vegetarian Fest
2023-10-22,202343,Vegetarian Fest
2023-10-17,202343,Vegetarian Fest
2023-10-20,202343,Vegetarian Fest
2023-10-29,202344,Buddhist Lent end
2023-10-27,202344,""
2023-10-23,202344,"Rama V, Vegetarian Fest"
2023-10-24,202344,""
2023-10-28,202344,""
2023-10-26,202344,""
2023-10-25,202344,""
2023-11-04,202345,""
2023-11-05,202345,""
2023-11-01,202345,""
2023-11-02,202345,""
2023-11-03,202345,""
2023-10-31,202345,Halloween
2023-10-30,202345,""
2023-11-08,202346,""
2023-11-09,202346,""
2023-11-10,202346,""
2023-11-07,202346,""
2023-11-12,202346,""
2023-11-06,202346,""
2023-11-11,202346,""
2023-11-19,202347,""
2023-11-14,202347,""
2023-11-16,202347,""
2023-11-18,202347,""
2023-11-13,202347,""
2023-11-15,202347,""
2023-11-17,202347,""
2023-11-20,202348,""
2023-11-25,202348,""
2023-11-26,202348,""
2023-11-21,202348,""
2023-11-24,202348,""
2023-11-22,202348,""
2023-11-23,202348,""
2023-11-30,202349,""
2023-12-02,202349,""
2023-11-27,202349,Loy Kra Thong
2023-12-01,202349,""
2023-11-29,202349,""
2023-11-28,202349,""
2023-12-03,202349,""
2023-12-07,202350,""
2023-12-10,202350,Constitution Day
2023-12-08,202350,""
2023-12-09,202350,""
2023-12-04,202350,""
2023-12-05,202350,Father's Day
2023-12-06,202350,""
2023-12-15,202351,""
2023-12-12,202351,""
2023-12-14,202351,""
2023-12-11,202351,Sub-Constitution Day
2023-12-16,202351,""
2023-12-13,202351,""
2023-12-17,202351,""
2023-12-24,202352,""
2023-12-23,202352,""
2023-12-21,202352,""
2023-12-18,202352,""
2023-12-19,202352,""
2023-12-22,202352,""
2023-12-20,202352,""
2023-12-30,202353,""
2023-12-29,202353,Sub-new Year
2023-12-25,202353,Christmas
2023-12-31,202353,""
2023-12-26,202353,""
2023-12-28,202353,""
2023-12-27,202353,""
